idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
0,Kate,Williams,Kate Williams,CEO,1% for the Planet,Non-Profit,"Burlington, VT",USA,North America,https://www.linkedin.com/in/katewilliams87/,"44.4758825, -73.21207199999999",44.475882,-73.212072,Unknown,Unknown
1,May,Boeve,May Boeve,Executive Director,350.org,Non-Profit,"Brooklyn, NY",USA,North America,https://350.org/team/,"40.6781784, -73.9441579",40.678178,-73.944158,Unknown,Unknown
2,Greta,Thunberg,Greta Thunberg,Social Media Climate Activist,,Non-Profit,Stockholm,Sweden,Europe,,"59.32932349999999, 18.0685808",59.329324,18.068581,Unknown,Unknown
3,Gayle,Schueller,Gayle Schueller,Vice President and Chief Sustainability Officer,3M,For-Profit,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/gayleschueller/,"44.977753, -93.2650108",44.977753,-93.265011,Unknown,Unknown
4,Sarah Finnie,Robinson,Sarah Finnie Robinson,Director,51 Percent Project at BU Institute for Sustainable Energy,Non-Profit,"Boston, MA",USA,North America,https://www.linkedin.com/in/sarahfinnierobinson/ ,"42.3600825, -71.0588801",42.360082,-71.05888,Unknown,Unknown
5,Meghan,Zahniser,Meghan Zahniser,Executive Director,AASHE,Non-Profit,"Philadelphia, PA",USA,North America,linkedin.com/in/meghan-fay-zahniser-5616087,"39.9525839, -75.1652215",39.952584,-75.165222,Unknown,Unknown
6,Darcy,Winslow,Darcy Winslow,Founding President; Founder,Academy for Systems Change; Magnolia Moonshot 2030,Non-Profit,"Portland, OR",USA,North America,https://www.linkedin.com/in/darcywinslow/ ,"45.5051064, -122.6750261",45.505106,-122.675026,Unknown,Unknown
7,Ilan,Gur,Ilan Gur,CEO,Activate,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/ilangur/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
8,Troy,Rudd,Troy Rudd,CEO,AECOM,For-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/troy-rudd-11b93290/,"34.0522342, -118.2436849",34.052234,-118.243685,Unknown,Unknown
9,Hana,Kajimura,Hana Kajimura,Sustainability Lead,Allbirds,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/hanakajimura/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
10,Hana,Kajimura,Hana Kajimura,Sustainability Manager,Allbirds,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/hanakajimura/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
11,Kara,Hurst,Kara Hurst,Head of Worldwide Sustainability,Amazon,For-Profit,"Seattle, WA",USA,North America,https://www.linkedin.com/in/karahartnetthurst/,"47.6062095, -122.3320708",47.60621,-122.332071,Unknown,Unknown
12,George,Bandy Jr.,George Bandy Jr.,Head of Worldwide Circular Economy,Amazon,For-Profit,"Atlanta, GA",USA,North America,https://www.linkedin.com/in/george-bandy-jr-578b164/,"33.7489954, -84.3879824",33.748995,-84.387982,Unknown,Unknown
13,Hans,Biörck,Hans Biörck,Chairman and CEO,Skanska,For-Profit,Unknown,,,,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
14,Benji,Backer,Benji Backer,Founder and President,American Conservation Coalition,Non-Profit,"Appleton, WI",USA,North America,https://www.linkedin.com/in/benjibacker/,"44.2619309, -88.41538469999999",44.261931,-88.415385,Unknown,Unknown
15,Myriam,Coneim,Myriam Coneim,Director of Sustainability,American Express,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/myriamconeim/?locale=en_US,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
16,Jad,Daley,Jad Daley,President and CEO,American Forests,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/jad-daley-08882010/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
17,Janelle,Heslop,Janelle Heslop,"Senior Manager, Strategic Planning and Operations",Amgen,For-Profit,Unknown,USA,North America,https://www.linkedin.com/in/janelle-heslop/,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
18,Donald,Lindsay,Donald Lindsay,Chief Executive Officer,Teck Resources,For-Profit,Vancouver,Canada,North America,https://www.teck.com/about/board-of-directors/donald-r.-lindsay https://www.bcachievement.com/awardee/donald-lindsay/,"49.2827291, -123.1207375",49.282729,-123.120738,Unknown,Unknown
19,Vincent,Roche,Vincent Roche,President and Chief Executive Officer,Analog Devices,For-Profit,"Norwood, MA",USA,North America,https://investor.analog.com/governance/leadership-team https://www.bloomberg.com/profile/person/4759894,"42.19439089999999, -71.19896949999999",42.194391,-71.19897,Unknown,Unknown
20,Ajei,Gopal,Ajei Gopal,Chief Executive Officer,Ansys,For-Profit,"Pittsburg, PA",USA,North America,https://www.linkedin.com/in/ajeigopal/,"40.44062479999999, -79.9958864",40.440625,-79.995886,Unknown,Unknown
21,Lisa,Jackson,Lisa Jackson,"Vice President of Environment, Policy and Social Initiatives",Apple,For-Profit,"Cupertino, CA",USA,North America,https://www.apple.com/leadership/lisa-jackson/,"37.3229978, -122.0321823",37.322998,-122.032182,Unknown,Unknown
22,Ed,Mazria,Ed Mazria,CEO,Architecture 2030,Non-Profit,"Sante Fe, New Mexico",USA,North America,https://www.linkedin.com/in/edward-mazria-5b0117129/ ,"35.6869752, -105.937799",35.686975,-105.937799,Unknown,Unknown
23,Christopher,Boone,Christopher Boone,"Dean and Professor, College of Global Futures; Former Dean and Professor, School of Sustainability",Arizona State University,Non-Profit,"Tempe, AZ",USA,North America,https://www.linkedin.com/in/christophergboone/,"33.4255104, -111.9400054",33.42551,-111.940005,Unknown,Unknown
24,Klaus,Lackner,Klaus Lackner,Director of Center for Negative Carbon Emissions and professor at the School of Sustainable Engineering and the Built Environment of the Ira A. Fulton Schools of Engineering,Arizona State University,Non-Profit,"Tempe, AZ",USA,North America,https://cnce.engineering.asu.edu/klaus-lackner/,"33.4255104, -111.9400054",33.42551,-111.940005,Unknown,Unknown
25,Charles,Gulledge,Charles Gulledge,President,ASHRAE,Non-Profit,"Greensboro, NC",USA,North America,https://www.linkedin.com/in/charles-e-chuck-gulledge-iii-pe-fashrae-hbdp-leed-ap-a770ba15/,"36.0726354, -79.7919754",36.072635,-79.791975,Unknown,Unknown
26,Jessica,Aldridge,Jessica Aldridge,Director of Sustainability and Zero Watse Programs,Athens Services,For-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/jessicaaldridgegreenbean/,"34.0522342, -118.2436849",34.052234,-118.243685,Unknown,Unknown
